team,td,punts
ari,21,23
atl,17,20
bal,20,22
buf,20,16
car,13,13
chi,14,28
cin,12,26
cle,20,21
dal,21,16
den,9,17
det,15,19
gb,19,14
hou,17,21
ind,15,15
jax,15,15
kc,21,20
lac,13,21
lar,19,21
mia,16,22
min,19,19
ne,13,13
no,18,20
nyg,8,18
nyj,7,35
lv,17,11
phi,17,27
pit,19,20
sf,18,20
sea,23,22
tb,21,25
ten,20,14
wsh,13,32
